"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1997",453311,"Tim Lincecum",2011,"3607","55.36","0.136","0.057","0.252","0.193","0.266","0.157","0.000","36","264","null","null","null","88.3","null","243","582","1374","null","null","null","null","null","null","null","null","null"
"1571",425844,"Zack Greinke",2011,"2841","55.30","0.128","0.029","0.278","0.157","0.215","0.109","0.000","31","242","null","null","null","87.1","null","206","472","1090","null","null","null","null","null","null","null","null","null"
"1893",452657,"Jon Lester",2012,"3424","55.29","0.176","0.052","0.286","0.228","0.277","0.137","0.000","44","250","null","null","null","89.3","null","207","562","1315","null","null","null","null","null","null","null","null","null"
"1382",425844,"Zack Greinke",2016,"2503","55.21","0.181","0.075","0.298","0.256","0.264","0.235","0.157","41","227","79.6","7.9","2210","87.7","87.46","186","481","887","-0.2","5.99","112","153","118","149","302","323","302"
"1900",456501,"Johnny Cueto",2012,"3449","55.09","0.180","0.032","0.276","0.212","0.259","0.115","0.000","51","283","null","null","null","88.7","null","180","592","1270","null","null","null","null","null","null","null","null","null"
"1622",461829,"Gio Gonzalez",2015,"2947","55.04","0.142","0.009","0.248","0.150","0.258","0.267","0.147","32","226","80.9","2.7","2237","88.1","87.23","179","456","1141","-0.9","6.00","107","148","107","146","293","303","289"
"1268",434622,"Ubaldo Jimenez",2014,"2306","54.99","0.159","0.030","0.250","0.189","0.352","0.255","0.000","21","132","null","null","null","87.5","null","92","308","943","null","null","null","null","null","null","null","null","null"
"1860",425844,"Zack Greinke",2012,"3383","54.98","0.163","0.041","0.291","0.203","0.237","0.101","0.000","48","295","null","null","null","87.3","null","209","521","1329","null","null","null","null","null","null","null","null","null"
"1648",450729,"Doug Fister",2016,"3000","54.93","0.223","0.083","0.293","0.306","0.324","0.305","0.200","54","242","78.1","7.0","1992","83.6","83.50","122","457","1179","-0.1","6.32","107","149","113","149","281","315","285"
"1316",450308,"Jered Weaver",2013,"2396","54.92","0.236","0.094","0.302","0.330","0.324","0.120","0.000","48","203","null","null","null","83.0","null","128","411","895","null","null","null","null","null","null","null","null","null"
"1886",433587,"Felix Hernandez",2014,"3434","54.92","0.132","0.033","0.242","0.164","0.207","0.096","0.000","40","304","null","null","null","89.5","null","288","638","1230","null","null","null","null","null","null","null","null","null"
"1467",572971,"Dallas Keuchel",2016,"2671","54.92","0.150","0.075","0.231","0.225","0.252","0.259","0.162","34","227","78.0","2.8","2083","84.7","84.16","170","440","1018","-0.5","6.02","103","149","113","147","284","314","279"
"1833",218596,"Tim Hudson",2010,"3339","54.90","0.128","0.045","0.170","0.174","0.245","0.141","0.000","34","265","null","null","null","88.5","null","160","500","1299","null","null","null","null","null","null","null","null","null"
"1710",461829,"Gio Gonzalez",2016,"3116","54.88","0.178","0.061","0.290","0.239","0.292","0.292","0.170","41","230","79.1","10.5","2293","86.9","86.36","172","473","1217","-0.5","6.05","109","150","111","145","298","308","283"
"959",285064,"Ryan Vogelsong",2013,"1748","54.86","0.205","0.055","0.260","0.260","0.319","0.168","0.000","26","127","null","null","null","85.4","null","53","250","694","null","null","null","null","null","null","null","null","null"
"1396",346798,"Kyle Lohse",2015,"2545","54.85","0.252","0.112","0.333","0.364","0.338","0.318","0.231","52","206","81.6","7.8","2010","84.9","83.49","150","408","966","-1.4","5.38","106","147","108","147","292","318","295"
"1654",572971,"Dallas Keuchel",2014,"3020","54.77","0.153","0.034","0.254","0.186","0.246","0.125","0.000","36","236","null","null","null","85.6","null","196","493","1145","null","null","null","null","null","null","null","null","null"
"1909",430912,"Matt Cain",2011,"3488","54.73","0.167","0.044","0.260","0.211","0.264","0.133","0.000","45","270","null","null","null","87.9","null","203","582","1292","null","null","null","null","null","null","null","null","null"
