"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1558",346798,"Kyle Lohse",2012,"3127","49.82","0.276","0.153","0.285","0.430","0.301","0.007","0.000","153","554","null","null","null","86.4","null","108","966","580","null","null","null","null","null","null","null","null","null"
"1622",425794,"Adam Wainwright",2014,"3258","49.79","0.250","0.105","0.279","0.355","0.260","0.002","0.000","147","588","null","null","null","85.4","null","126","1019","589","null","null","null","null","null","null","null","null","null"
"931",547874,"Hisashi Iwakuma",2015,"1872","49.73","0.275","0.217","0.273","0.492","0.323","0.348","0.296","90","327","89.7","10.3","2057","85.7","85.18","79","603","323","-0.5","6.20","114","148","110","147","291","312","293"
"1685",453286,"Max Scherzer",2013,"3388","49.73","0.224","0.179","0.248","0.403","0.265","0.006","0.000","111","496","null","null","null","90.3","null","250","1103","576","null","null","null","null","null","null","null","null","null"
"1558",430935,"Cole Hamels",2014,"3136","49.68","0.265","0.130","0.296","0.394","0.279","0.003","0.000","139","525","null","null","null","89.6","null","211","1070","470","null","null","null","null","null","null","null","null","null"
"971",453562,"Jake Arrieta",2012,"1956","49.64","0.280","0.191","0.302","0.471","0.320","0.011","0.000","88","314","null","null","null","90.4","null","81","534","429","null","null","null","null","null","null","null","null","null"
"1144",506433,"Yu Darvish",2014,"2312","49.48","0.293","0.168","0.345","0.462","0.327","0.007","0.000","108","368","null","null","null","88.0","null","126","708","431","null","null","null","null","null","null","null","null","null"
"1073",502171,"Alex Cobb",2012,"2169","49.47","0.305","0.154","0.329","0.459","0.328","0.006","0.000","105","344","null","null","null","86.9","null","73","606","465","null","null","null","null","null","null","null","null","null"
"916",218596,"Tim Hudson",2015,"1854","49.41","0.321","0.144","0.324","0.465","0.339","0.361","0.326","116","361","89.8","5.8","2017","85.3","84.19","70","606","302","-1.1","5.47","112","149","108","146","293","319","294"
"1812",434378,"Justin Verlander",2016,"3668","49.40","0.253","0.205","0.270","0.458","0.301","0.310","0.255","143","565","83.7","26.3","2543","90.0","89.25","244","1229","578","-0.7","5.98","109","152","112","146","304","323","292"
"1191",453562,"Jake Arrieta",2014,"2416","49.30","0.245","0.100","0.293","0.345","0.262","0.015","0.000","91","371","null","null","null","90.4","null","109","714","470","null","null","null","null","null","null","null","null","null"
"1253",112526,"Bartolo Colon",2011,"2542","49.29","0.264","0.174","0.288","0.437","0.300","0.006","0.000","120","455","null","null","null","90.9","null","74","741","509","null","null","null","null","null","null","null","null","null"
"1605",434622,"Ubaldo Jimenez",2011,"3259","49.25","0.282","0.186","0.320","0.469","0.326","0.014","0.000","150","531","null","null","null","90.5","null","130","960","641","null","null","null","null","null","null","null","null","null"
"1227",434622,"Ubaldo Jimenez",2016,"2492","49.24","0.311","0.178","0.340","0.489","0.346","0.306","0.268","127","409","85.4","18.0","2072","86.9","86.55","105","718","506","-0.4","5.91","105","151","114","147","299","309","298"
"1246",434671,"Anibal Sanchez",2015,"2532","49.21","0.270","0.235","0.270","0.505","0.332","0.308","0.260","115","426","87.2","16.4","2213","88.7","88.29","131","774","468","-0.4","6.12","108","151","112","144","288","305","283"
"1644",430935,"Cole Hamels",2015,"3344","49.16","0.283","0.156","0.313","0.439","0.310","0.304","0.272","156","551","87.7","10.8","2018","89.3","89.18","206","1122","510","-0.1","6.38","107","150","109","147","292","315","290"
"1441",592789,"Noah Syndergaard",2016,"2935","49.10","0.282","0.146","0.336","0.428","0.306","0.292","0.264","131","465","84.2","12.9","2126","95.4","96.00","191","938","495","0.6","6.78","109","152","110","146","289","311","293"
"1553",434622,"Ubaldo Jimenez",2013,"3164","49.08","0.278","0.168","0.308","0.446","0.313","0.015","0.000","136","489","null","null","null","88.4","null","162","959","589","null","null","null","null","null","null","null","null","null"
"1643",450729,"Doug Fister",2013,"3351","49.03","0.309","0.123","0.345","0.432","0.322","0.006","0.000","171","553","null","null","null","84.8","null","121","905","733","null","null","null","null","null","null","null","null","null"
"1683",453562,"Jake Arrieta",2015,"3438","48.95","0.214","0.095","0.259","0.310","0.226","0.248","0.238","119","555","85.0","7.4","2304","92.3","91.62","164","1043","625","-0.7","6.07","114","150","107","148","285","298","284"
"1643",425794,"Adam Wainwright",2010,"3358","48.93","0.261","0.137","0.288","0.398","0.280","0.004","0.000","149","571","null","null","null","85.7","null","142","973","657","null","null","null","null","null","null","null","null","null"
"385",605228,"Jose Fernandez",2014,"787","48.92","0.241","0.155","0.291","0.397","0.280","0.012","0.000","28","116","null","null","null","90.6","null","51","243","140","null","null","null","null","null","null","null","null","null"
"1567",518516,"Madison Bumgarner",2013,"3205","48.89","0.230","0.122","0.249","0.351","0.248","0.005","0.000","119","518","null","null","null","88.4","null","190","1044","509","null","null","null","null","null","null","null","null","null"
"1619",518516,"Madison Bumgarner",2015,"3313","48.87","0.277","0.169","0.297","0.446","0.310","0.314","0.281","157","567","87.7","13.8","2255","88.9","88.55","189","1109","501","-0.4","6.17","111","148","108","144","292","314","291"
